epoch,step,test_acc,test_loss,train_loss,val_acc,val_loss
0,0,,,2.2965478897094727,,
0,1,,,2.305191993713379,,
0,2,,,2.299177646636963,,
0,3,,,2.2846972942352295,,
0,4,,,2.2922964096069336,,
0,5,,,2.2693734169006348,,
0,6,,,2.279160261154175,,
0,7,,,2.2598180770874023,,
0,8,,,2.2567479610443115,,
0,9,,,2.269615888595581,,
0,10,,,2.2489418983459473,,
0,11,,,2.236781120300293,,
0,12,,,2.247220993041992,,
0,13,,,2.2504372596740723,,
0,14,,,2.253085136413574,,
0,15,,,2.223233699798584,,
0,16,,,2.2391839027404785,,
0,17,,,2.219315767288208,,
0,18,,,2.2220497131347656,,
0,19,,,2.2108154296875,,
0,20,,,2.2313880920410156,,
0,21,,,2.1871509552001953,,
0,22,,,2.198512077331543,,
0,23,,,2.198713779449463,,
0,24,,,2.1940112113952637,,
0,25,,,2.20926570892334,,
0,26,,,2.210360527038574,,
0,27,,,2.1828155517578125,,
0,28,,,2.182312488555908,,
0,29,,,2.1565494537353516,,
0,30,,,2.14133620262146,,
0,31,,,2.1352014541625977,,
0,32,,,2.139155387878418,,
0,33,,,2.1580920219421387,,
0,34,,,2.1560161113739014,,
0,35,,,2.1166889667510986,,
0,36,,,2.1316423416137695,,
0,37,,,2.0990309715270996,,
0,38,,,2.132368564605713,,
0,39,,,2.1319496631622314,,
0,40,,,2.1359338760375977,,
0,41,,,2.086575508117676,,
0,42,,,2.1050868034362793,,
0,43,,,2.094449996948242,,
0,44,,,2.1209373474121094,,
0,45,,,2.106088638305664,,
0,46,,,2.104703903198242,,
0,47,,,2.108551263809204,,
0,48,,,2.074625253677368,,
0,49,,,2.0568251609802246,,
0,50,,,2.12166166305542,,
0,51,,,2.0592570304870605,,
0,52,,,2.0554542541503906,,
0,53,,,2.0858123302459717,,
0,54,,,2.087034225463867,,
0,55,,,2.0521016120910645,,
0,56,,,2.0369110107421875,,
0,57,,,2.032093048095703,,
0,58,,,2.0786044597625732,,
